"","GSM253220.CEL.gz","GSM253221.CEL.gz","GSM253222.CEL.gz","GSM253223.CEL.gz","GSM253224.CEL.gz","GSM253225.CEL.gz","GSM253226.CEL.gz","GSM253227.CEL.gz","GSM253228.CEL.gz","GSM253229.CEL.gz","GSM253230.CEL.gz","GSM253231.CEL.gz","GSM253232.CEL.gz","GSM253233.CEL.gz","GSM253234.CEL.gz","GSM253235.CEL.gz","GSM253236.CEL.gz","GSM253237.CEL.gz"
"Pf.14.512.0_CDS_at",9.47562417253764,9.22751569577346,9.32349737665993,9.45717465278012,9.37324597418735,9.49665674321069,8.76855340117659,8.71112752831062,8.74679031175594,8.33443983099539,8.77724817059539,8.56834780132347,8.56564324529035,7.93018167949337,8.24622954442341,8.48241454170158,8.46070573133177,8.56933113157373
"Pf.1.116.0_CDS_s_at",7.66750181850282,7.42587466675712,7.30088746873383,7.4408928044623,7.64910253906139,7.93299262181974,7.66200780821196,7.34027290636629,7.70352455345263,6.2851905065857,7.29843151680764,7.61485327882337,8.20898279880467,7.42005857464915,8.02997808975396,7.96695136486426,8.15733952309309,8.40633493010134
"Pf.12.103.0_CDS_at",5.17440951441266,4.82055726991429,4.97123395684298,4.46740375415372,5.37264994898391,4.92168930625131,5.00570106866007,4.93611763695223,5.02149684056217,5.17128993702317,4.76656095798104,4.9742192231188,4.49790438403922,3.73634289145418,3.8977841513077,3.87843862242794,4.60223449946159,5.0443853206645
"Pf.5.22.0_CDS_at",3.88558973707993,3.39241521965471,3.38216761969645,3.68449090988234,3.59305125778129,3.41438891524963,3.32833775847465,2.56019555581108,3.42153420086705,3.05226968048173,3.07309080904322,3.07885205024384,4.45398689199556,3.46676330963552,4.24294385082139,3.87158792162867,3.45237036648139,4.22515943466283
"Pf.14.236.0_CDS_at",4.61726450593222,4.77943462121589,4.37325140685759,4.47933852276223,4.51299381502987,4.50085135475051,5.72776049645322,4.91812271588018,5.34530996012973,5.59366036732844,4.94605359582913,5.55531015011427,5.51621344199004,4.29849613408237,4.60677350075911,4.84192827602345,5.12634106911164,5.47685034744407
"Pf.9.101.0_CDS_at",7.59102442201327,7.8276482362689,7.63738204698305,6.63423303628235,7.9078372877062,7.78668851803151,7.84440069999764,7.88774507560337,8.32524337248038,7.10499470697679,7.82331316354452,8.02413399234931,8.2084338632094,7.88720963402382,8.70383724451342,8.01204004692353,8.02998535607137,8.54809922807934
"Pf.13_1.30.0_CDS_at",3.3450184946794,3.42817116711513,3.24760464452403,3.38617987520956,3.32576372808327,3.3378994461593,4.12119332739186,3.66129427100485,4.0558982857743,3.68320128617202,3.78609263331656,3.83714091052834,4.52657793992643,4.05046632503769,3.92417927279951,4.89014125966886,4.27542381310447,4.40084914324105
"Pf.2.96.0_CDS_at",2.787844275373,2.89319867027318,2.90312896443477,2.6924185529798,2.55272349349377,3.17318110107895,3.32055585317977,3.30408121223003,4.07043678726922,3.2143053340503,3.24918687927045,3.33083731486199,3.63735713166243,3.02472406976255,3.61394710982809,3.1390925503217,3.59089838587672,4.43108751119368
"Pf.10.293.0_CDS_at",7.88624745677451,7.57887913995724,7.72194144325742,7.62285700184368,7.53262795189413,7.68910147379095,8.26321884142376,7.74764191667577,8.2404952226128,7.48456406650334,8.06665804240709,8.08322144023372,8.99641234722485,8.30870858576193,8.62655059194069,8.73619231981563,8.59991085748747,8.63329501822971
"Pf.4.101.0_CDS_a_at",9.13983212100096,9.16801050482138,9.18127418032006,9.00518472546904,9.1959749878348,9.44208084065046,9.07305421749381,9.00799910604341,9.57713466804103,8.38703574477809,9.4740999129484,9.37001938962876,9.83476290878889,9.8144037363666,10.0303062173874,9.75351580642605,10.2739672231718,10.0861658807602
"AF528127.1_s_at",3.98533378105948,3.60462076460075,3.81743781239807,4.08745546032017,3.66388054978067,3.62032358346168,3.64962417279173,3.15579347805518,3.35843519072476,3.50285195812165,3.30553573601877,3.54031013058666,5.0803718480247,4.38376402848151,4.20494455883641,4.213931255111,3.96196883102787,3.34863901216017
"Pf.14.462.0_CDS_at",3.15085078843143,3.0060258561179,2.91217700393694,3.04578689184106,2.8073328890204,2.90685756680663,3.76448281636228,3.50945398762602,3.68541196357733,3.45422046618714,3.57987759759801,3.42379623408304,4.5683967803433,3.6710363078117,4.20449825318988,3.552974768133,3.6755581341304,3.96407255340159
"Pf.14.137.0_CDS_at",4.39676441035428,4.07444725637653,3.99469899085417,4.1014531794113,4.19702622821987,4.3593144621966,5.07468982907666,5.00920444940227,4.97943619840694,5.0663685005629,4.8107414868584,4.9821696903545,5.29748095022565,4.53300247003138,4.69047860433392,4.55168769781751,5.47303730381538,5.43333066877125
"Pf.12.186.0_CDS_at",5.74249075009705,5.43040456132612,5.37935467354009,5.00897558846363,5.47107926873634,5.46306078665132,5.87454768738247,6.09379842907837,5.81736416949647,5.47758812743941,5.80824958945356,6.17205288920276,5.75586480088391,4.61792594202965,5.49061617342665,4.9798647754771,5.93669622788011,6.62407642924982
"Pf.14.754.0_CDS_at",3.62477247841663,3.85101634837307,3.70830689618087,3.30460448208551,3.4890088303222,3.62238421290952,3.98226522368732,3.68650226996277,3.79207537373191,3.44855364138396,3.77907878604121,3.76923146440591,4.6547656605871,4.49740277211536,4.71455463251565,4.91175554255596,4.16814927484202,4.25944514559271
"Pf.13_1.362.0_CDS_at",9.03745079977812,8.8467548308121,8.89384585257262,9.19533949297396,8.47380237977422,8.94317757482699,8.41850345710559,8.05104824226601,8.19847351997671,7.66069594934163,7.89893605927645,7.71399471400426,8.766511612636,8.97092504584012,8.78282688654291,8.72507839973096,8.88068924592123,8.40007583890449
