"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.3.103.0_CDS_at",10.923894531808,10.9288432713826,11.2542779189352,11.1821575494648,11.9008390597084,11.7108095573912
"Pf.13_1.400.0_CDS_at",4.14228670575501,4.57553796408672,3.89072257045248,4.01193460404348,3.46502931887388,3.73889690642268
"Pf.3.204.0_CDS_at",8.46954156852011,8.28692047796284,8.61196026817772,8.39987087371196,9.26552641999354,9.18119704092858
"AJ290936.1_s_at",3.9166623780144,3.83588920075476,4.04233796892765,3.79098439433598,4.45466435207154,4.61858503705983
"Pf.2.206.0_CDS_at",4.17232726564788,3.9178954662212,4.18473443777636,4.29352692701478,4.91716859160638,4.67316348597788
"Pf.6.41.0_CDS_at",10.4849397391862,10.378483429316,9.92312425650753,9.77458453424253,9.51097280016195,9.6986540927855
"Pf.9.243.0_CDS_at",6.60540318581077,6.46494914361126,6.35306178448127,6.27497570943522,5.79068460127217,6.18230650566255
"Pf.14.97.0_CDS_a_at",9.28810717510951,9.40081402208868,8.66225568358411,8.76598697609564,8.30757185931305,8.57065027912927
"Pf.9.7.0_CDS_at",11.9582061133523,11.9001126878183,12.5746590473055,12.3773169406165,12.867752565813,12.807818005656
"Pf.11.211.0_CDS_at",10.5326538162907,10.5242185025987,10.9360423307516,10.6076078140846,11.3258825067987,11.4183651658463
"Pf.12.473.0_CDS_at",7.18219052193639,7.18059803119554,7.45485109019807,7.41013674691219,8.18620837603261,7.88289574419613
"Pf.7.207.0_CDS_at",11.2640601732433,11.2410037319957,11.1779945781672,10.9131254515559,11.4038748757873,11.5043940507902
"Pf.6.25.0_CDS_at",8.60419121805317,8.69732892114502,8.78330547200108,8.54565830481994,9.41531925493782,9.41525817386302
"Pf.6.26.0_CDS_at",10.3709613691513,10.397227658672,10.3128372770719,10.3196475601099,9.54729271545233,10.1156480314045
"Pf.5.258.0_CDS_at",4.44688802559139,4.39937700101698,4.73453704469736,4.71225289112066,5.11392866826302,5.28217479523127
"Pf.14.291.0_CDS_at",4.78151647374032,4.75436926426397,4.95776496683961,4.64280744160763,5.45773144992096,5.39595610173737
"Pf.10.253.0_CDS_at",5.8949287454907,6.13553497438729,6.02055810824002,6.08920238704776,5.21683247724016,5.77757001679256
"AF288172.1_RC_s_at",3.04762813093181,2.91057981794213,3.34287452899059,3.22650768107023,3.57302106859112,3.84275792039892
"AF528108.1_s_at",4.66516560391456,4.73076896888754,5.01299519246436,5.28556694161814,4.45000455560053,4.30260230022311
"Pf.9.126.0_CDS_at",7.71694454549348,7.68223491890272,8.04237467203804,7.74977502807522,8.40169446226827,8.52431599693905
"Pf.10.52.0_CDS_at",8.46532842233172,8.34833670560289,8.67452500467261,8.30817747928181,8.54399045077453,8.90568236738441
"Pf.8.368.0_at",10.3719282359499,10.2970542583256,9.56623970976833,9.52368016481233,9.47259625381966,9.54443035095172
"Pf.6.59.0_CDS_s_at",5.39627940778037,5.07007580068512,4.68915059320795,4.63177363465962,5.30265346783223,4.9984247346159
"Pf.13_1.583.0_CDS_at",7.84341228570508,7.97357908462584,8.40831794838997,8.02475775282742,7.64668555753296,8.22052613299582
"Pf.13_1.465.0_CDS_at",8.32945367399348,8.24012186510592,8.39547090829003,7.75931334814976,8.3219366207529,8.49553757055015
"Pf.4.39.0_CDS_at",6.30977392627482,6.34996707899524,6.82296132758755,6.47398083898635,6.94607789831625,7.12952838890207
"Pf.12.235.0_CDS_at",4.18517762236388,4.05245862415141,4.59939781407655,4.40794611601647,4.72111485085573,4.84536126884246
"Pf.14.688.0_CDS_at",4.01933172268774,4.37025207580083,4.05200420548416,4.06460326078873,3.5407145800454,3.87683841199221
"Pf.1.40.0_CDS_at",9.75567991282345,9.75986909951063,10.0254668343119,9.89256831174446,10.6989301858396,10.511843495049
"Pf.12.251.0_CDS_at",8.04026863105717,7.98532113254106,8.10136501157603,7.8679589655217,8.70669668999048,8.67516092949473
"Pf.10.205.0_CDS_at",7.58754923868405,7.82480318075975,7.23184299072366,7.20797594128833,6.81960558516198,7.43017648124464
"Pf.9.50.1_CDS_at",9.06612500839145,8.86769886282347,8.90541874360987,8.8512797967428,9.74615132277509,9.52753398748399
"Pf.12.366.0_CDS_at",4.81386629822713,5.10817371603912,4.52500076478971,4.42137125157754,4.25134566932828,4.43120788103539
"Pf.8.228.0_CDS_x_at",3.85915234163085,3.98504605464726,4.38484021268825,4.58784170345851,3.73006728503541,3.72598062327318
"Pf.5.210.0_CDS_at",7.72636590170425,7.72187747744482,7.65623762934359,7.40691967696789,7.78948917329811,8.05082882979116
"Pf.6.55.0_CDS_at",8.46572072187975,8.36518171899465,8.56339433832349,8.5941620292419,8.10928813678996,8.77579154423342
"Pf.14.536.0_CDS_at",7.074986197598,7.06308583082615,6.7995869445388,6.40739653328012,7.39942384115924,7.37760487405913
"Pf.9.301.0_CDS_at",10.9678964204986,10.862595398014,11.3582530706296,11.1424325650946,11.7579664747381,11.7259490559499
"Pf.5.277.0_CDS_at",8.36612815031868,8.24562119619404,8.4303057740122,8.42388568121512,7.74594114057816,8.24821193196443
"Pf.14.316.0_CDS_at",8.88555273097232,8.72206425491393,8.90623116453382,8.62103266152928,9.56843858005623,9.45602606491491
"Pf.13_1.627.0_CDS_at",9.50808913883534,9.37978290939223,8.84705783358857,8.54045869943952,9.08404839303225,9.31511391916387
